	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	heme_regulatory_motif_count
c_filamentum_b3_c_filamentum_b3@contig1_22	c_filamentum_b3	c_filamentum_b3@contig1	22	38409	39998	1	D										ABC transporter [PF00005.29]; ABC transporter [PF12848.9]		0
c_filamentum_b3_c_filamentum_b3@contig1_23	c_filamentum_b3	c_filamentum_b3@contig1	23	40065	40625	-1	D										Bacterial regulatory proteins, tetR family [PF00440.25]		0
c_filamentum_b3_c_filamentum_b3@contig1_24	c_filamentum_b3	c_filamentum_b3@contig1	24	40824	41714	1	C	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]								Phosphatidylserine decarboxylase [PF02666.17]		0
c_filamentum_b3_c_filamentum_b3@contig1_25	c_filamentum_b3	c_filamentum_b3@contig1	25	41781	42914	-1	D										Domain of unknown function (DUF1887) [PF09002.13]		0
c_filamentum_b3_c_filamentum_b3@contig1_26	c_filamentum_b3	c_filamentum_b3@contig1	26	43211	44419	1	D			MER0739706	C82A	MER0739706 - subfamily C82A non-peptidase homologues (Clostridium celatum) [C82.UNA]#C82A#{peptidase unit: 301-418}~source L1QK57~	False	0.831	205.0	1.827e-55	L,D-transpeptidase catalytic domain [PF03734.16]		0
c_filamentum_b3_c_filamentum_b3@contig1_27	c_filamentum_b3	c_filamentum_b3@contig1	27	44546	45886	1	C	K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]								Poly A polymerase head domain [PF01743.22]; tRNA nucleotidyltransferase domain 2 putative [PF13735.8]; Probable RNA and SrmB- binding site of polymerase A [PF12627.9]; HD domain [PF01966.24]		0
c_filamentum_b3_c_filamentum_b3@contig1_28	c_filamentum_b3	c_filamentum_b3@contig1	28	46042	46689	-1	C	K11068	hemolysin III								Haemolysin-III related [PF03006.22]		0
c_filamentum_b3_c_filamentum_b3@contig1_29	c_filamentum_b3	c_filamentum_b3@contig1	29	46910	47482	1	D										Domain of unknown function (DUF1836) [PF08876.13]		0
c_filamentum_b3_c_filamentum_b3@contig1_30	c_filamentum_b3	c_filamentum_b3@contig1	30	47486	49174	1	C	K06924	uncharacterized protein								Predicted ATPase of the ABC class [PF09818.11]		0
c_filamentum_b3_c_filamentum_b3@contig1_31	c_filamentum_b3	c_filamentum_b3@contig1	31	49450	50832	-1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_32	c_filamentum_b3	c_filamentum_b3@contig1	32	51121	51933	1	C	K00931	glutamate 5-kinase [EC:2.7.2.11]								Amino acid kinase family [PF00696.30]		0
c_filamentum_b3_c_filamentum_b3@contig1_33	c_filamentum_b3	c_filamentum_b3@contig1	33	51951	53195	1	C	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]								Aldehyde dehydrogenase family [PF00171.24]		0
c_filamentum_b3_c_filamentum_b3@contig1_34	c_filamentum_b3	c_filamentum_b3@contig1	34	53474	53776	1	C	K07450	putative resolvase								MerR HTH family regulatory protein [PF13411.8]		0
c_filamentum_b3_c_filamentum_b3@contig1_35	c_filamentum_b3	c_filamentum_b3@contig1	35	53846	53983	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_36	c_filamentum_b3	c_filamentum_b3@contig1	36	54075	55262	1	C	K07496	putative transposase								Probable transposase [PF01385.21]; Putative transposase DNA-binding domain [PF07282.13]; Helix-turn-helix domain [PF12323.10]		0
c_filamentum_b3_c_filamentum_b3@contig1_37	c_filamentum_b3	c_filamentum_b3@contig1	37	55431	55877	1	C	K02348	ElaA protein								Acetyltransferase (GNAT) domain [PF13673.9]; Acetyltransferase (GNAT) domain [PF13508.9]		0
c_filamentum_b3_c_filamentum_b3@contig1_38	c_filamentum_b3	c_filamentum_b3@contig1	38	55948	56544	1	C	K03748	SanA protein								DUF218 domain [PF02698.19]		0
c_filamentum_b3_c_filamentum_b3@contig1_39	c_filamentum_b3	c_filamentum_b3@contig1	39	56712	57488	1	C	K07124	uncharacterized protein								short chain dehydrogenase [PF00106.27]; Enoyl-(Acyl carrier protein) reductase [PF13561.8]; KR domain [PF08659.12]; NAD dependent epimerase/dehydratase family [PF01370.23]; NAD(P)H-binding [PF13460.8]		0
c_filamentum_b3_c_filamentum_b3@contig1_40	c_filamentum_b3	c_filamentum_b3@contig1	40	58056	59105	1	C	K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	MER0439498	C26	MER0439498 - family C26 unassigned peptidases (Clostridium sp. 7_2_43FAA) [C26.UPW]#C26#{peptidase unit: 5-345}~source ZP_05132476~	True	0.866	614.0	9.564e-198	Carbamoyl-phosphate synthase small chain, CPSase domain [PF00988.24]; Glutamine amidotransferase class-I [PF00117.30]; Peptidase C26 [PF07722.15]		0
c_filamentum_b3_c_filamentum_b3@contig1_41	c_filamentum_b3	c_filamentum_b3@contig1	41	59120	62326	1	C	K01955	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]								Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.19]; Carbamoyl-phosphate synthetase large chain, oligomerisation domain [PF02787.21]; MGS-like domain [PF02142.24]; ATP-grasp domain [PF02655.16]; D-ala D-ala ligase C-terminus [PF07478.15]; ATP-grasp domain [PF13535.8]; ATP-grasp in the biosynthetic pathway with Ter operon [PF15632.8]; ATP-grasp domain [PF02222.24]; RimK-like ATP-grasp domain [PF08443.13]		0
c_filamentum_b3_c_filamentum_b3@contig1_42	c_filamentum_b3	c_filamentum_b3@contig1	42	62384	63052	-1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_43	c_filamentum_b3	c_filamentum_b3@contig1	43	63835	64596	1	C	K01776	glutamate racemase [EC:5.1.1.3]								Asp/Glu/Hydantoin racemase [PF01177.24]		0
c_filamentum_b3_c_filamentum_b3@contig1_44	c_filamentum_b3	c_filamentum_b3@contig1	44	64807	65331	1	C	K03768	peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]								Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD [PF00160.23]		0
c_filamentum_b3_c_filamentum_b3@contig1_45	c_filamentum_b3	c_filamentum_b3@contig1	45	65493	65867	1	D										Domain of unknown function (DUF3783) [PF12646.9]		0
c_filamentum_b3_c_filamentum_b3@contig1_46	c_filamentum_b3	c_filamentum_b3@contig1	46	65860	66534	1	D										Helix-turn-helix domain [PF12844.9]; Helix-turn-helix [PF01381.24]		0
c_filamentum_b3_c_filamentum_b3@contig1_47	c_filamentum_b3	c_filamentum_b3@contig1	47	66774	70337	1	D			MER0977101	S08A	MER0977101 - subfamily S8A unassigned peptidases (Clostridium sp. CAG:265) [S08.UPA]#S08A#{peptidase unit: 657-1155}~source R6LI85~	True	0.813	834.0	5.405e-259	Subtilase family [PF00082.24]; Csp protease B prodomain [PF18425.3]		0
c_filamentum_b3_c_filamentum_b3@contig1_48	c_filamentum_b3	c_filamentum_b3@contig1	48	70402	71733	1	D										Putative peptidoglycan binding domain [PF01471.20]		0
c_filamentum_b3_c_filamentum_b3@contig1_49	c_filamentum_b3	c_filamentum_b3@contig1	49	71805	72866	-1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_50	c_filamentum_b3	c_filamentum_b3@contig1	50	73000	74082	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_51	c_filamentum_b3	c_filamentum_b3@contig1	51	74200	75123	1	C	K07139	uncharacterized protein								Radical_SAM C-terminal domain [PF16199.7]; Radical SAM superfamily [PF04055.23]		0
c_filamentum_b3_c_filamentum_b3@contig1_52	c_filamentum_b3	c_filamentum_b3@contig1	52	75227	75772	1	C	K03088	RNA polymerase sigma-70 factor, ECF subfamily								Sigma-70, region 4 [PF08281.14]; Sigma-70 region 2 [PF04542.16]; Sigma-70, region 4 [PF04545.18]; ECF sigma factor [PF07638.13]		0
c_filamentum_b3_c_filamentum_b3@contig1_53	c_filamentum_b3	c_filamentum_b3@contig1	53	75765	76481	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_54	c_filamentum_b3	c_filamentum_b3@contig1	54	76541	77716	-1	C	K06969	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]								S-adenosylmethionine-dependent methyltransferase [PF10672.11]; PUA-like domain [PF17785.3]; Met-10+ like-protein [PF02475.18]; tRNA (Uracil-5-)-methyltransferase [PF05958.13]; Conserved hypothetical protein 95 [PF03602.17]; Ribosomal protein L11 methyltransferase (PrmA) [PF06325.15]; Methyltransferase small domain [PF05175.16]; RNA cap guanine-N2 methyltransferase [PF09445.12]; N-6 DNA Methylase [PF02384.18]; N2,N2-dimethylguanosine tRNA methyltransferase [PF02005.18]		0
c_filamentum_b3_c_filamentum_b3@contig1_55	c_filamentum_b3	c_filamentum_b3@contig1	55	78492	78911	1	D										ABC transporter [PF00005.29]		0
c_filamentum_b3_c_filamentum_b3@contig1_56	c_filamentum_b3	c_filamentum_b3@contig1	56	78913	79056	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_57	c_filamentum_b3	c_filamentum_b3@contig1	57	79110	79361	1	C	K07461	putative endonuclease								GIY-YIG catalytic domain [PF01541.26]		0
c_filamentum_b3_c_filamentum_b3@contig1_58	c_filamentum_b3	c_filamentum_b3@contig1	58	79463	79579	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_59	c_filamentum_b3	c_filamentum_b3@contig1	59	79898	80017	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_60	c_filamentum_b3	c_filamentum_b3@contig1	60	80067	80171	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_61	c_filamentum_b3	c_filamentum_b3@contig1	61	80473	81261	-1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_62	c_filamentum_b3	c_filamentum_b3@contig1	62	81451	83010	-1	C	K01224	arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]								Glycosyl hydrolase family 53 [PF07745.15]; Ricin-type beta-trefoil lectin domain-like [PF14200.8]	CBM13 Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis. [CBM13]; GH53 endo-beta-1,4-galactanase (EC 3.2.1.89). [GH53]; GH5 endo-beta-1,4-glucanase / cellulase (EC 3.2.1.4); endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (EC 3.2.1.21); beta-mannosidase (EC 3.2.1.25); beta-glucosylceramidase (EC 3.2.1.45); glucan beta-1,3-glucosidase (EC 3.2.1.58); exo-beta-1,4-glucanase / cellodextrinase (EC 3.2.1.74); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); steryl beta-glucosidase (EC 3.2.1.104); endoglycoceramidase (EC 3.2.1.123); chitosanase (EC 3.2.1.132); beta-primeverosidase (EC 3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); endo-beta-1,6-galactanase (EC 3.2.1.164); beta-1,3-mannanase (EC 3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC 3.2.1.-); mannan transglycosylase (EC 2.4.1.-); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-glucanase / laminarinase (EC 3.2.1.39); beta-N-acetylhexosaminidase (EC 3.2.1.52); chitosanase (EC 3.2.1.132); beta-D-galactofuranosidase (EC 3.2.1.146); beta-galactosylceramidase (EC 3.2.1.46); ; beta-rutinosidase /alpha-L-rhamnose-(1,6)-beta-D-glucosidase (EC 3.2.1.-); alpha-L-arabinofuranosidase (EC 3.2.1.55) [GH5]	0
c_filamentum_b3_c_filamentum_b3@contig1_63	c_filamentum_b3	c_filamentum_b3@contig1	63	83472	84239	1	C	K02530	DeoR family transcriptional regulator, lactose phosphotransferase system repressor								DeoR C terminal sensor domain [PF00455.24]; DeoR-like helix-turn-helix domain [PF08220.14]		0
c_filamentum_b3_c_filamentum_b3@contig1_64	c_filamentum_b3	c_filamentum_b3@contig1	64	84242	84667	1	C	K01819	galactose-6-phosphate isomerase [EC:5.3.1.26]								Ribose/Galactose Isomerase [PF02502.20]		0
c_filamentum_b3_c_filamentum_b3@contig1_65	c_filamentum_b3	c_filamentum_b3@contig1	65	84679	85197	1	D										Ribose/Galactose Isomerase [PF02502.20]		0
c_filamentum_b3_c_filamentum_b3@contig1_66	c_filamentum_b3	c_filamentum_b3@contig1	66	85237	85551	1	C	K02786	lactose PTS system EIIA component [EC:2.7.1.207]								PTS system, Lactose/Cellobiose specific IIA subunit [PF02255.18]		0
c_filamentum_b3_c_filamentum_b3@contig1_67	c_filamentum_b3	c_filamentum_b3@contig1	67	85600	87276	1	C	K02788	lactose PTS system EIICB component [EC:2.7.1.207]								Phosphotransferase system, EIIC [PF02378.20]		0
c_filamentum_b3_c_filamentum_b3@contig1_68	c_filamentum_b3	c_filamentum_b3@contig1	68	87330	88757	1	C	K01220	6-phospho-beta-galactosidase [EC:3.2.1.85]								Glycosyl hydrolase family 1 [PF00232.20]	GH1 beta-glucosidase (EC 3.2.1.21); beta-galactosidase (EC 3.2.1.23); beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-D-fucosidase (EC 3.2.1.38); phlorizin hydrolase (EC 3.2.1.62); exo-beta-1,4-glucanase (EC 3.2.1.74); 6-phospho-beta-galactosidase (EC 3.2.1.85); 6-phospho-beta-glucosidase (EC 3.2.1.86); strictosidine beta-glucosidase (EC 3.2.1.105); lactase (EC 3.2.1.108); amygdalin beta-glucosidase (EC 3.2.1.117); prunasin beta-glucosidase (EC 3.2.1.118); vicianin hydrolase (EC 3.2.1.119); raucaffricine beta-glucosidase (EC 3.2.1.125); thioglucosidase (EC 3.2.1.147); beta-primeverosidase (EC 3.2.1.149); isoflavonoid 7-O-beta-apiosyl-beta-glucosidase (EC 3.2.1.161); ABA-specific beta-glucosidase (EC 3.2.1.175); DIMBOA beta-glucosidase (EC 3.2.1.182); beta-glycosidase (EC 3.2.1.-); hydroxyisourate hydrolase (EC 3.-.-.-); beta-rutinosidase /alpha-L-rhamnose-(1,6)-beta-D-glucosidase (EC 3.2.1.-) [GH1]	0
c_filamentum_b3_c_filamentum_b3@contig1_69	c_filamentum_b3	c_filamentum_b3@contig1	69	88771	89625	1	C	K08302	tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]								Fructose-bisphosphate aldolase class-II [PF01116.22]		0
c_filamentum_b3_c_filamentum_b3@contig1_70	c_filamentum_b3	c_filamentum_b3@contig1	70	89702	90631	1	C	K00917	tagatose 6-phosphate kinase [EC:2.7.1.144]								pfkB family carbohydrate kinase [PF00294.26]; Phosphomethylpyrimidine kinase [PF08543.14]		0
c_filamentum_b3_c_filamentum_b3@contig1_71	c_filamentum_b3	c_filamentum_b3@contig1	71	91356	91793	-1	D										Globin [PF00042.24]		0
c_filamentum_b3_c_filamentum_b3@contig1_72	c_filamentum_b3	c_filamentum_b3@contig1	72	92393	92509	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_73	c_filamentum_b3	c_filamentum_b3@contig1	73	92526	93488	1	C	K07487	transposase								Transposase domain (DUF772) [PF05598.13]		0
c_filamentum_b3_c_filamentum_b3@contig1_74	c_filamentum_b3	c_filamentum_b3@contig1	74	93469	93681	-1	D										BFD-like [2Fe-2S] binding domain [PF04324.17]		0
c_filamentum_b3_c_filamentum_b3@contig1_75	c_filamentum_b3	c_filamentum_b3@contig1	75	94353	97463	1	C	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]								tRNA synthetases class I (I, L, M and V) [PF00133.24]; Domain of unknown function (DUF5915) [PF19302.1]; Anticodon-binding domain of tRNA ligase [PF08264.15]; tRNA synthetases class I (M) [PF09334.13]; tRNA synthetases class I (C) catalytic domain [PF01406.21]		0
c_filamentum_b3_c_filamentum_b3@contig1_76	c_filamentum_b3	c_filamentum_b3@contig1	76	97642	98640	1	C	K02529	LacI family transcriptional regulator								Periplasmic binding proteins and sugar binding domain of LacI family [PF00532.23]; Periplasmic binding protein-like domain [PF13377.8]; Periplasmic binding protein domain [PF13407.8]; Bacterial regulatory proteins, lacI family [PF00356.23]		0
c_filamentum_b3_c_filamentum_b3@contig1_77	c_filamentum_b3	c_filamentum_b3@contig1	77	99090	99275	-1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_78	c_filamentum_b3	c_filamentum_b3@contig1	78	99457	100032	1	C	K06373	spore maturation protein A								Nucleoside recognition [PF07670.16]		0
c_filamentum_b3_c_filamentum_b3@contig1_79	c_filamentum_b3	c_filamentum_b3@contig1	79	100051	100575	1	C	K06374	spore maturation protein B										0
c_filamentum_b3_c_filamentum_b3@contig1_80	c_filamentum_b3	c_filamentum_b3@contig1	80	100727	101167	1	C	K06209	chorismate mutase [EC:5.4.99.5]										0
c_filamentum_b3_c_filamentum_b3@contig1_81	c_filamentum_b3	c_filamentum_b3@contig1	81	101198	102454	1	C	K01262	Xaa-Pro aminopeptidase [EC:3.4.11.9]	MER1244736	M24B	MER1244736 - subfamily M24B unassigned peptidases () [M24.UPB]#M24B#{peptidase unit: 167-410}~source SCJ78652~	True	0.875	446.0	4.3819999999999997e-138	Metallopeptidase family M24 [PF00557.26]; Aminopeptidase P, N-terminal domain [PF05195.18]		0
c_filamentum_b3_c_filamentum_b3@contig1_82	c_filamentum_b3	c_filamentum_b3@contig1	82	102821	104536	1	C	K18218	tetracycline resistance efflux pump								Na+/H+ antiporter family [PF03553.16]		0
c_filamentum_b3_c_filamentum_b3@contig1_83	c_filamentum_b3	c_filamentum_b3@contig1	83	104932	105429	-1	D										Aromatic acid exporter family member 1 [PF06081.13]; Fusaric acid resistance protein-like [PF13515.8]; Fusaric acid resistance protein family [PF04632.14]		0
c_filamentum_b3_c_filamentum_b3@contig1_84	c_filamentum_b3	c_filamentum_b3@contig1	84	106111	108054	1	C	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]								tRNA synthetases class I (M) [PF09334.13]; Anticodon binding domain of methionyl tRNA ligase [PF19303.1]; tRNA synthetases class I (I, L, M and V) [PF00133.24]; Putative tRNA binding domain [PF01588.22]; Anticodon-binding domain of tRNA ligase [PF08264.15]; tRNA synthetases class I (C) catalytic domain [PF01406.21]		0
c_filamentum_b3_c_filamentum_b3@contig1_85	c_filamentum_b3	c_filamentum_b3@contig1	85	108214	109842	1	C	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]								tRNA synthetases class I (M) [PF09334.13]; Anticodon binding domain of methionyl tRNA ligase [PF19303.1]; tRNA synthetases class I (I, L, M and V) [PF00133.24]		0
c_filamentum_b3_c_filamentum_b3@contig1_86	c_filamentum_b3	c_filamentum_b3@contig1	86	110197	110982	1	C	K03424	TatD DNase family protein [EC:3.1.21.-]								TatD related DNase [PF01026.23]		0
c_filamentum_b3_c_filamentum_b3@contig1_87	c_filamentum_b3	c_filamentum_b3@contig1	87	111211	112260	1	C	K21688	resuscitation-promoting factor RpfB	MER0273666	M23B	MER0273666 - subfamily M23B non-peptidase homologues (Clostridium acetobutylicum) [M23.UNB]#M23B#{peptidase unit: 21-322}~source YP_004637687~	False	0.582	69.0	4.445e-11	3D domain [PF06725.13]; G5 domain [PF07501.14]; G5-linked-Ubiquitin-like domain [PF03990.16]		0
c_filamentum_b3_c_filamentum_b3@contig1_88	c_filamentum_b3	c_filamentum_b3@contig1	88	112353	112982	1	C	K05985	ribonuclease M5 [EC:3.1.26.8]								Domain of unknown function (DUF4093) [PF13331.8]; Toprim domain [PF13662.8]; Toprim domain [PF01751.24]		0
c_filamentum_b3_c_filamentum_b3@contig1_89	c_filamentum_b3	c_filamentum_b3@contig1	89	112983	113825	1	C	K02528	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]								Ribosomal RNA adenine dimethylase [PF00398.22]		0
c_filamentum_b3_c_filamentum_b3@contig1_90	c_filamentum_b3	c_filamentum_b3@contig1	90	113936	115111	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_91	c_filamentum_b3	c_filamentum_b3@contig1	91	115273	116097	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_92	c_filamentum_b3	c_filamentum_b3@contig1	92	116145	116792	-1	C	K16789	thiamine transporter								Thiamine transporter protein (Thia_YuaJ) [PF09515.12]		0
c_filamentum_b3_c_filamentum_b3@contig1_93	c_filamentum_b3	c_filamentum_b3@contig1	93	116972	117175	-1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_94	c_filamentum_b3	c_filamentum_b3@contig1	94	117263	117718	-1	C	K10947	PadR family transcriptional regulator, regulatory protein PadR								Transcriptional regulator PadR-like family [PF03551.16]		0
c_filamentum_b3_c_filamentum_b3@contig1_95	c_filamentum_b3	c_filamentum_b3@contig1	95	117722	118567	-1	C	K07030	uncharacterized protein								Uncharacterised protein, DegV family COG1307 [PF02645.18]		0
c_filamentum_b3_c_filamentum_b3@contig1_96	c_filamentum_b3	c_filamentum_b3@contig1	96	118801	120909	1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]								Anaerobic ribonucleoside-triphosphate reductase [PF13597.8]; ATP cone domain [PF03477.18]		0
