	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	heme_regulatory_motif_count
c_saudiense_c_saudiense@contig1_19	c_saudiense	c_saudiense@contig1	19	27742	28365	1	C	K05812	DTW domain-containing protein								DTW domain [PF03942.17]		0
c_saudiense_c_saudiense@contig1_20	c_saudiense	c_saudiense@contig1	20	28673	29638	1	C	K07482	transposase, IS30 family								Helix-turn-helix domain [PF13936.8]		0
c_saudiense_c_saudiense@contig1_21	c_saudiense	c_saudiense@contig1	21	29681	30238	1	C	K01673	carbonic anhydrase [EC:4.2.1.1]								Carbonic anhydrase [PF00484.21]		0
c_saudiense_c_saudiense@contig1_22	c_saudiense	c_saudiense@contig1	22	30701	31642	1	C	K00845	glucokinase [EC:2.7.1.2]								ROK family [PF00480.22]; BadF/BadG/BcrA/BcrD ATPase family [PF01869.22]		0
c_saudiense_c_saudiense@contig1_23	c_saudiense	c_saudiense@contig1	23	31785	32303	1	D										Acetyltransferase (GNAT) domain [PF13302.9]; Acetyltransferase (GNAT) domain [PF13420.9]; Acetyltransferase (GNAT) domain [PF13523.8]; Acetyltransferase (GNAT) family [PF00583.27]		0
c_saudiense_c_saudiense@contig1_24	c_saudiense	c_saudiense@contig1	24	32314	35745	1	C	K16899	ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]								Exodeoxyribonuclease V, gamma subunit [PF04257.16]; PD-(D/E)XK nuclease superfamily [PF12705.9]; UvrD-like helicase C-terminal domain [PF13361.8]		0
c_saudiense_c_saudiense@contig1_25	c_saudiense	c_saudiense@contig1	25	35748	39509	1	C	K16898	ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]								UvrD/REP helicase N-terminal domain [PF00580.23]; UvrD-like helicase C-terminal domain [PF13361.8]; PD-(D/E)XK nuclease superfamily [PF12705.9]; AAA domain [PF13245.8]		0
c_saudiense_c_saudiense@contig1_26	c_saudiense	c_saudiense@contig1	26	39633	40973	-1	C	K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]								Poly A polymerase head domain [PF01743.22]; tRNA nucleotidyltransferase domain 2 putative [PF13735.8]; Probable RNA and SrmB- binding site of polymerase A [PF12627.9]; HD domain [PF01966.24]		0
c_saudiense_c_saudiense@contig1_27	c_saudiense	c_saudiense@contig1	27	41103	42311	-1	D			MER0739706	C82A	MER0739706 - subfamily C82A non-peptidase homologues (Clostridium celatum) [C82.UNA]#C82A#{peptidase unit: 301-418}~source L1QK57~	False	0.847	209.0	6.111000000000002e-57	L,D-transpeptidase catalytic domain [PF03734.16]		0
c_saudiense_c_saudiense@contig1_28	c_saudiense	c_saudiense@contig1	28	42487	43248	1	D										Protein of unknown function (DUF1189) [PF06691.13]		0
c_saudiense_c_saudiense@contig1_29	c_saudiense	c_saudiense@contig1	29	43493	44623	1	D										Domain of unknown function (DUF1887) [PF09002.13]		0
c_saudiense_c_saudiense@contig1_30	c_saudiense	c_saudiense@contig1	30	45032	45931	-1	C	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]								Phosphatidylserine decarboxylase [PF02666.17]		0
c_saudiense_c_saudiense@contig1_31	c_saudiense	c_saudiense@contig1	31	46135	46695	1	D										Bacterial regulatory proteins, tetR family [PF00440.25]		0
c_saudiense_c_saudiense@contig1_32	c_saudiense	c_saudiense@contig1	32	46754	48343	-1	D										ABC transporter [PF00005.29]; ABC transporter [PF12848.9]		0
c_saudiense_c_saudiense@contig1_33	c_saudiense	c_saudiense@contig1	33	48578	48793	-1	D										Domain of unknown function (DUF4351) [PF14261.8]		0
c_saudiense_c_saudiense@contig1_34	c_saudiense	c_saudiense@contig1	34	48819	49466	-1	C	K11068	hemolysin III								Haemolysin-III related [PF03006.22]		0
c_saudiense_c_saudiense@contig1_35	c_saudiense	c_saudiense@contig1	35	49687	50259	1	D										Domain of unknown function (DUF1836) [PF08876.13]		0
c_saudiense_c_saudiense@contig1_36	c_saudiense	c_saudiense@contig1	36	50263	51954	1	C	K06924	uncharacterized protein								Predicted ATPase of the ABC class [PF09818.11]		0
c_saudiense_c_saudiense@contig1_37	c_saudiense	c_saudiense@contig1	37	52340	53722	-1	E												0
c_saudiense_c_saudiense@contig1_38	c_saudiense	c_saudiense@contig1	38	54002	54817	1	C	K00931	glutamate 5-kinase [EC:2.7.2.11]								Amino acid kinase family [PF00696.30]		0
c_saudiense_c_saudiense@contig1_39	c_saudiense	c_saudiense@contig1	39	54843	56087	1	C	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]								Aldehyde dehydrogenase family [PF00171.24]		0
c_saudiense_c_saudiense@contig1_40	c_saudiense	c_saudiense@contig1	40	56350	56946	1	C	K03748	SanA protein								DUF218 domain [PF02698.19]		0
c_saudiense_c_saudiense@contig1_41	c_saudiense	c_saudiense@contig1	41	57074	57517	1	C	K02348	ElaA protein								Acetyltransferase (GNAT) domain [PF13673.9]; Acetyltransferase (GNAT) domain [PF13508.9]; Acetyltransferase (GNAT) domain [PF13527.9]		0
c_saudiense_c_saudiense@contig1_42	c_saudiense	c_saudiense@contig1	42	57539	58318	1	C	K07124	uncharacterized protein								short chain dehydrogenase [PF00106.27]; Enoyl-(Acyl carrier protein) reductase [PF13561.8]; KR domain [PF08659.12]; NAD dependent epimerase/dehydratase family [PF01370.23]		0
c_saudiense_c_saudiense@contig1_43	c_saudiense	c_saudiense@contig1	43	58329	59138	1	C	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]								haloacid dehalogenase-like hydrolase [PF08282.14]; Sucrose-6F-phosphate phosphohydrolase [PF05116.15]		0
c_saudiense_c_saudiense@contig1_44	c_saudiense	c_saudiense@contig1	44	59682	60731	1	C	K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	MER0439498	C26	MER0439498 - family C26 unassigned peptidases (Clostridium sp. 7_2_43FAA) [C26.UPW]#C26#{peptidase unit: 5-345}~source ZP_05132476~	True	0.866	614.0	9.564e-198	Carbamoyl-phosphate synthase small chain, CPSase domain [PF00988.24]; Glutamine amidotransferase class-I [PF00117.30]; Peptidase C26 [PF07722.15]		0
c_saudiense_c_saudiense@contig1_45	c_saudiense	c_saudiense@contig1	45	60745	63951	1	C	K01955	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]								Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.19]; Carbamoyl-phosphate synthetase large chain, oligomerisation domain [PF02787.21]; MGS-like domain [PF02142.24]; ATP-grasp domain [PF02655.16]; D-ala D-ala ligase C-terminus [PF07478.15]; ATP-grasp domain [PF13535.8]; ATP-grasp in the biosynthetic pathway with Ter operon [PF15632.8]; ATP-grasp domain [PF02222.24]; RimK-like ATP-grasp domain [PF08443.13]		0
c_saudiense_c_saudiense@contig1_46	c_saudiense	c_saudiense@contig1	46	64067	65389	1	C	K07497	putative transposase								Integrase core domain [PF13683.8]; Integrase core domain [PF13333.8]; Integrase core domain [PF00665.28]; HTH-like domain [PF13276.8]		0
c_saudiense_c_saudiense@contig1_47	c_saudiense	c_saudiense@contig1	47	65468	66253	-1	E												0
c_saudiense_c_saudiense@contig1_48	c_saudiense	c_saudiense@contig1	48	66410	66712	1	E												0
c_saudiense_c_saudiense@contig1_49	c_saudiense	c_saudiense@contig1	49	66831	67607	1	C	K01776	glutamate racemase [EC:5.1.1.3]								Asp/Glu/Hydantoin racemase [PF01177.24]		0
c_saudiense_c_saudiense@contig1_50	c_saudiense	c_saudiense@contig1	50	67744	68016	1	D										STAS-like domain of unknown function (DUF4325) [PF14213.8]		0
c_saudiense_c_saudiense@contig1_51	c_saudiense	c_saudiense@contig1	51	68322	68846	1	C	K03768	peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]								Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD [PF00160.23]		0
c_saudiense_c_saudiense@contig1_52	c_saudiense	c_saudiense@contig1	52	68936	69310	1	D										Domain of unknown function (DUF3783) [PF12646.9]		0
c_saudiense_c_saudiense@contig1_53	c_saudiense	c_saudiense@contig1	53	69303	69977	1	D										Helix-turn-helix domain [PF12844.9]; Helix-turn-helix [PF01381.24]		0
c_saudiense_c_saudiense@contig1_54	c_saudiense	c_saudiense@contig1	54	70256	73819	1	D			MER0977101	S08A	MER0977101 - subfamily S8A unassigned peptidases (Clostridium sp. CAG:265) [S08.UPA]#S08A#{peptidase unit: 657-1155}~source R6LI85~	True	0.831	856.0	2.7619999999999998e-266	Subtilase family [PF00082.24]; Csp protease B prodomain [PF18425.3]		0
c_saudiense_c_saudiense@contig1_55	c_saudiense	c_saudiense@contig1	55	73883	75217	1	D										Putative peptidoglycan binding domain [PF01471.20]; Stage II sporulation protein [PF08486.12]		0
c_saudiense_c_saudiense@contig1_56	c_saudiense	c_saudiense@contig1	56	75284	76357	-1	E												0
c_saudiense_c_saudiense@contig1_57	c_saudiense	c_saudiense@contig1	57	76485	77570	1	E												0
c_saudiense_c_saudiense@contig1_58	c_saudiense	c_saudiense@contig1	58	77687	78610	1	C	K07139	uncharacterized protein								Radical_SAM C-terminal domain [PF16199.7]; Radical SAM superfamily [PF04055.23]		0
c_saudiense_c_saudiense@contig1_59	c_saudiense	c_saudiense@contig1	59	78809	79354	1	C	K03088	RNA polymerase sigma-70 factor, ECF subfamily								Sigma-70, region 4 [PF08281.14]; Sigma-70 region 2 [PF04542.16]		0
c_saudiense_c_saudiense@contig1_60	c_saudiense	c_saudiense@contig1	60	79347	80081	1	E												0
c_saudiense_c_saudiense@contig1_61	c_saudiense	c_saudiense@contig1	61	80087	80536	1	D										Protein of unknown function (DUF2752) [PF10825.10]		0
c_saudiense_c_saudiense@contig1_62	c_saudiense	c_saudiense@contig1	62	80625	81800	-1	C	K06969	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]								S-adenosylmethionine-dependent methyltransferase [PF10672.11]; PUA-like domain [PF17785.3]; Met-10+ like-protein [PF02475.18]; Conserved hypothetical protein 95 [PF03602.17]; tRNA (Uracil-5-)-methyltransferase [PF05958.13]; Ribosomal protein L11 methyltransferase (PrmA) [PF06325.15]; Methyltransferase small domain [PF05175.16]; RNA cap guanine-N2 methyltransferase [PF09445.12]; Methyltransferase domain [PF13847.8]; N2,N2-dimethylguanosine tRNA methyltransferase [PF02005.18]		0
c_saudiense_c_saudiense@contig1_63	c_saudiense	c_saudiense@contig1	63	81961	82218	1	C	K07461	putative endonuclease								GIY-YIG catalytic domain [PF01541.26]		0
c_saudiense_c_saudiense@contig1_64	c_saudiense	c_saudiense@contig1	64	82230	82733	1	C	K03825	L-phenylalanine/L-methionine N-acetyltransferase [EC:2.3.1.53 2.3.1.-]								Acetyltransferase (GNAT) domain [PF13420.9]; Acetyltransferase (GNAT) domain [PF13302.9]; Acetyltransferase (GNAT) family [PF00583.27]; Acetyltransferase (GNAT) domain [PF13508.9]; Acetyltransferase (GNAT) domain [PF13673.9]; FR47-like protein [PF08445.12]		0
c_saudiense_c_saudiense@contig1_65	c_saudiense	c_saudiense@contig1	65	82818	83030	-1	D										BFD-like [2Fe-2S] binding domain [PF04324.17]		0
c_saudiense_c_saudiense@contig1_66	c_saudiense	c_saudiense@contig1	66	83760	86870	1	C	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]								tRNA synthetases class I (I, L, M and V) [PF00133.24]; Domain of unknown function (DUF5915) [PF19302.1]; Anticodon-binding domain of tRNA ligase [PF08264.15]; tRNA synthetases class I (M) [PF09334.13]		0
c_saudiense_c_saudiense@contig1_67	c_saudiense	c_saudiense@contig1	67	87049	88047	1	C	K02529	LacI family transcriptional regulator								Periplasmic binding proteins and sugar binding domain of LacI family [PF00532.23]; Periplasmic binding protein-like domain [PF13377.8]; Periplasmic binding protein domain [PF13407.8]; Bacterial regulatory proteins, lacI family [PF00356.23]		0
c_saudiense_c_saudiense@contig1_68	c_saudiense	c_saudiense@contig1	68	88116	89081	-1	C	K07482	transposase, IS30 family								Helix-turn-helix domain [PF13936.8]		0
c_saudiense_c_saudiense@contig1_69	c_saudiense	c_saudiense@contig1	69	89531	91159	1	C	K07487	transposase								Transposase DDE domain [PF13751.8]; Transposase domain (DUF772) [PF05598.13]; Transposase DDE domain [PF01609.23]		0
c_saudiense_c_saudiense@contig1_70	c_saudiense	c_saudiense@contig1	70	91348	91533	-1	E												0
c_saudiense_c_saudiense@contig1_71	c_saudiense	c_saudiense@contig1	71	91715	92290	1	C	K06373	spore maturation protein A								Nucleoside recognition [PF07670.16]		0
c_saudiense_c_saudiense@contig1_72	c_saudiense	c_saudiense@contig1	72	92309	92833	1	C	K06374	spore maturation protein B										0
c_saudiense_c_saudiense@contig1_73	c_saudiense	c_saudiense@contig1	73	93072	93512	1	C	K06209	chorismate mutase [EC:5.4.99.5]										0
c_saudiense_c_saudiense@contig1_74	c_saudiense	c_saudiense@contig1	74	93555	94811	1	C	K01262	Xaa-Pro aminopeptidase [EC:3.4.11.9]	MER1244736	M24B	MER1244736 - subfamily M24B unassigned peptidases () [M24.UPB]#M24B#{peptidase unit: 167-410}~source SCJ78652~	True	0.941	484.0	3.513e-151	Metallopeptidase family M24 [PF00557.26]; Aminopeptidase P, N-terminal domain [PF05195.18]		0
c_saudiense_c_saudiense@contig1_75	c_saudiense	c_saudiense@contig1	75	95192	96901	1	C	K18218	tetracycline resistance efflux pump								Na+/H+ antiporter family [PF03553.16]		0
c_saudiense_c_saudiense@contig1_76	c_saudiense	c_saudiense@contig1	76	97031	97528	-1	D										Aromatic acid exporter family member 1 [PF06081.13]; Fusaric acid resistance protein-like [PF13515.8]; Fusaric acid resistance protein family [PF04632.14]		0
c_saudiense_c_saudiense@contig1_77	c_saudiense	c_saudiense@contig1	77	97723	98058	1	E												0
c_saudiense_c_saudiense@contig1_78	c_saudiense	c_saudiense@contig1	78	98477	100420	1	C	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]								tRNA synthetases class I (M) [PF09334.13]; Anticodon binding domain of methionyl tRNA ligase [PF19303.1]; tRNA synthetases class I (I, L, M and V) [PF00133.24]; Putative tRNA binding domain [PF01588.22]; tRNA synthetases class I (C) catalytic domain [PF01406.21]		0
c_saudiense_c_saudiense@contig1_79	c_saudiense	c_saudiense@contig1	79	100628	102256	1	C	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]								tRNA synthetases class I (M) [PF09334.13]; Anticodon binding domain of methionyl tRNA ligase [PF19303.1]; tRNA synthetases class I (I, L, M and V) [PF00133.24]; tRNA synthetases class I (C) catalytic domain [PF01406.21]; Anticodon-binding domain of tRNA ligase [PF08264.15]		0
c_saudiense_c_saudiense@contig1_80	c_saudiense	c_saudiense@contig1	80	102487	103290	1	D										Double zinc ribbon [PF12773.9]		0
c_saudiense_c_saudiense@contig1_81	c_saudiense	c_saudiense@contig1	81	103397	104182	1	C	K03424	TatD DNase family protein [EC:3.1.21.-]								TatD related DNase [PF01026.23]		0
c_saudiense_c_saudiense@contig1_82	c_saudiense	c_saudiense@contig1	82	104414	105463	1	D			MER0273666	M23B	MER0273666 - subfamily M23B non-peptidase homologues (Clostridium acetobutylicum) [M23.UNB]#M23B#{peptidase unit: 21-322}~source YP_004637687~	False	0.559	66.0	4.403e-10	3D domain [PF06725.13]; G5 domain [PF07501.14]; G5-linked-Ubiquitin-like domain [PF03990.16]		0
c_saudiense_c_saudiense@contig1_83	c_saudiense	c_saudiense@contig1	83	105561	106178	1	C	K05985	ribonuclease M5 [EC:3.1.26.8]								Domain of unknown function (DUF4093) [PF13331.8]; Toprim domain [PF13662.8]		0
c_saudiense_c_saudiense@contig1_84	c_saudiense	c_saudiense@contig1	84	106179	107021	1	C	K02528	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]								Ribosomal RNA adenine dimethylase [PF00398.22]		0
c_saudiense_c_saudiense@contig1_85	c_saudiense	c_saudiense@contig1	85	107324	108349	1	E												0
c_saudiense_c_saudiense@contig1_86	c_saudiense	c_saudiense@contig1	86	108509	109333	1	E												0
c_saudiense_c_saudiense@contig1_87	c_saudiense	c_saudiense@contig1	87	109466	110113	-1	C	K16789	thiamine transporter								Thiamine transporter protein (Thia_YuaJ) [PF09515.12]		0
c_saudiense_c_saudiense@contig1_88	c_saudiense	c_saudiense@contig1	88	110296	110499	-1	E												0
c_saudiense_c_saudiense@contig1_89	c_saudiense	c_saudiense@contig1	89	110585	111040	-1	C	K10947	PadR family transcriptional regulator, regulatory protein PadR								Transcriptional regulator PadR-like family [PF03551.16]		0
c_saudiense_c_saudiense@contig1_90	c_saudiense	c_saudiense@contig1	90	111044	111889	-1	C	K07030	uncharacterized protein								Uncharacterised protein, DegV family COG1307 [PF02645.18]		0
c_saudiense_c_saudiense@contig1_91	c_saudiense	c_saudiense@contig1	91	112129	114261	1	C	K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]								Anaerobic ribonucleoside-triphosphate reductase [PF13597.8]; ATP cone domain [PF03477.18]		0
c_saudiense_c_saudiense@contig1_92	c_saudiense	c_saudiense@contig1	92	114661	115833	1	C	K02594	homocitrate synthase NifV [EC:2.3.3.14]								HMGL-like [PF00682.21]		0
c_saudiense_c_saudiense@contig1_93	c_saudiense	c_saudiense@contig1	93	115836	118127	1	D										Aconitase family (aconitate hydratase) [PF00330.22]; Aconitase C-terminal domain [PF00694.21]		0
c_saudiense_c_saudiense@contig1_94	c_saudiense	c_saudiense@contig1	94	118280	118786	1	C	K04068	anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]								4Fe-4S single cluster domain [PF13353.8]; Radical SAM superfamily [PF04055.23]		0
c_saudiense_c_saudiense@contig1_95	c_saudiense	c_saudiense@contig1	95	119015	120409	-1	C	K01893	asparaginyl-tRNA synthetase [EC:6.1.1.22]								tRNA synthetases class II (D, K and N) [PF00152.22]; OB-fold nucleic acid binding domain [PF01336.27]		0
c_saudiense_c_saudiense@contig1_96	c_saudiense	c_saudiense@contig1	96	120821	121423	1	D										Cytochrome b5-like Heme/Steroid binding domain [PF00173.30]		0
c_saudiense_c_saudiense@contig1_97	c_saudiense	c_saudiense@contig1	97	121571	122269	-1	C	K07095	uncharacterized protein								Calcineurin-like phosphoesterase superfamily domain [PF12850.9]; Calcineurin-like phosphoesterase [PF00149.30]		0
c_saudiense_c_saudiense@contig1_98	c_saudiense	c_saudiense@contig1	98	122465	123541	1	D			MER0173477	M24B	MER0173477 - PH0974 dipeptidase (Clostridium butyricum) [M24.034]#M24B#{peptidase unit: 128-355}~source ZP_02951274~	False	0.719	332.0	6.747e-100	Metallopeptidase family M24 [PF00557.26]; Creatinase/Prolidase N-terminal domain [PF01321.20]		0
c_saudiense_c_saudiense@contig1_99	c_saudiense	c_saudiense@contig1	99	123668	124393	1	D										Protein of unknown function (DUF421) [PF04239.14]		0
c_saudiense_c_saudiense@contig1_100	c_saudiense	c_saudiense@contig1	100	124481	125299	-1	C	K03783	purine-nucleoside phosphorylase [EC:2.4.2.1]										0
c_saudiense_c_saudiense@contig1_101	c_saudiense	c_saudiense@contig1	101	125328	126704	-1	C	K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]								Mur ligase middle domain [PF08245.14]; Mur ligase family, catalytic domain [PF01225.27]; Mur ligase family, glutamate ligase domain [PF02875.23]		0
c_saudiense_c_saudiense@contig1_102	c_saudiense	c_saudiense@contig1	102	127027	127842	1	C	K09685	purine operon repressor								Bacterial purine repressor, N-terminal [PF09182.12]; Phosphoribosyl transferase domain [PF00156.29]		0
c_saudiense_c_saudiense@contig1_103	c_saudiense	c_saudiense@contig1	103	127974	128255	1	C	K06412	stage V sporulation protein G								SpoVG [PF04026.14]		0
c_saudiense_c_saudiense@contig1_104	c_saudiense	c_saudiense@contig1	104	128425	129798	1	C	K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]								Nucleotidyl transferase [PF00483.25]; MobA-like NTP transferase domain [PF12804.9]; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [PF01128.21]		0
c_saudiense_c_saudiense@contig1_105	c_saudiense	c_saudiense@contig1	105	129866	130825	1	C	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]								N-terminal domain of ribose phosphate pyrophosphokinase [PF13793.8]; Phosphoribosyl synthetase-associated domain [PF14572.8]; Phosphoribosyl transferase domain [PF00156.29]		0
c_saudiense_c_saudiense@contig1_106	c_saudiense	c_saudiense@contig1	106	130967	131653	1	C	K07775	two-component system, OmpR family, response regulator ResD								Response regulator receiver domain [PF00072.26]; Transcriptional regulatory protein, C terminal [PF00486.30]		0
c_saudiense_c_saudiense@contig1_107	c_saudiense	c_saudiense@contig1	107	131653	133062	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.28]; His Kinase A (phospho-acceptor) domain [PF00512.27]; HAMP domain [PF00672.27]; GHKL domain [PF14501.8]		0
c_saudiense_c_saudiense@contig1_108	c_saudiense	c_saudiense@contig1	108	133163	134296	1	D			MER0962484	S01C	MER0962484 - subfamily S1C non-peptidase homologues (Clostridium chauvoei) [S01.UNC]#S01C#{peptidase unit: 114-365}~source S6F2H5~	False	0.503	237.0	5.384e-67	Trypsin-like peptidase domain [PF13365.8]; PDZ domain [PF13180.8]		0
c_saudiense_c_saudiense@contig1_109	c_saudiense	c_saudiense@contig1	109	134395	134970	1	C	K01056	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]								Peptidyl-tRNA hydrolase [PF01195.21]		0
c_saudiense_c_saudiense@contig1_110	c_saudiense	c_saudiense@contig1	110	134995	138519	1	C	K03723	transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]								UvrB interaction domain [PF17757.3]; TRCF domain [PF03461.17]; CarD-like/TRCF domain [PF02559.18]; Helicase conserved C-terminal domain [PF00271.33]; DEAD/DEAH box helicase [PF00270.31]		0
c_saudiense_c_saudiense@contig1_111	c_saudiense	c_saudiense@contig1	111	138604	139617	1	C	K07533	foldase protein PrsA [EC:5.2.1.8]								PPIC-type PPIASE domain [PF13145.8]; PPIC-type PPIASE domain [PF13616.8]; SurA N-terminal domain [PF13624.8]; PPIC-type PPIASE domain [PF00639.23]		0
c_saudiense_c_saudiense@contig1_112	c_saudiense	c_saudiense@contig1	112	139911	140459	1	C	K04769	AbrB family transcriptional regulator, stage V sporulation protein T								Stage V sporulation protein T C-terminal, transcription factor [PF15714.7]; Antidote-toxin recognition MazE, bacterial antitoxin [PF04014.20]		0
c_saudiense_c_saudiense@contig1_113	c_saudiense	c_saudiense@contig1	113	140575	142131	1	C	K06409	stage V sporulation protein B								Polysaccharide biosynthesis C-terminal domain [PF14667.8]; Polysaccharide biosynthesis protein [PF13440.8]		0
c_saudiense_c_saudiense@contig1_114	c_saudiense	c_saudiense@contig1	114	142125	143573	1	C	K02499	tetrapyrrole methylase family protein / MazG family protein								Tetrapyrrole (Corrin/Porphyrin) Methylases [PF00590.22]; MazG nucleotide pyrophosphohydrolase domain [PF03819.19]		0
c_saudiense_c_saudiense@contig1_115	c_saudiense	c_saudiense@contig1	115	143827	144102	1	C	K03530	DNA-binding protein HU-beta								Bacterial DNA-binding protein [PF00216.23]; HU domain fused to wHTH, Ig, or Glycine-rich motif [PF18291.3]		0
